,rx,ry,rconfidence
0,155.709,138.188,0.681384
0,153.123,140.772,0.70349
0,0.0,0.0,0.0
0,155.721,134.938,0.631104
0,147.925,153.1,0.776551
0,153.091,138.2,0.805293
0,153.755,140.788,0.758221
0,166.109,136.877,0.539116
0,155.072,137.549,0.737128
0,0.0,0.0,0.0
0,136.887,150.529,0.0769574
0,153.788,140.783,0.764358
0,154.411,138.182,0.808808
0,153.762,137.549,0.790041
0,147.925,149.245,0.791361
0,152.48,142.758,0.773862
0,0.0,0.0,0.0
0,153.106,148.584,0.742382
0,172.602,121.939,0.585999
0,0.0,0.0,0.0
0,164.182,127.822,0.77438
0,154.418,138.847,0.793159
0,160.268,123.252,0.741034
0,151.817,142.756,0.768351
0,155.062,138.211,0.765974
0,175.862,127.788,0.688838
0,150.529,148.587,0.801965
0,0.0,0.0,0.0
0,148.585,148.596,0.799101
0,152.466,142.748,0.762842
0,169.355,111.531,0.7872
0,169.348,136.876,0.537374
0,0.0,0.0,0.0
0,155.079,136.224,0.737879
0,138.205,168.728,0.770647
0,148.57,148.588,0.825393
0,153.123,141.443,0.721972
0,149.878,147.277,0.795958
0,148.58,149.237,0.768489
0,0.0,0.0,0.0
0,173.263,127.156,0.386336
0,148.561,148.583,0.815974
0,153.757,142.062,0.778102
0,155.074,138.205,0.741839
0,153.758,141.439,0.737077
0,157.008,138.215,0.68327
0,176.499,119.341,0.511219
0,0.0,0.0,0.0
0,153.131,141.422,0.773306
0,0.0,0.0,0.0
0,179.73,122.604,0.529113
0,153.114,141.441,0.766518
0,154.421,137.507,0.769144
0,148.583,153.118,0.85827
0,0.0,0.0,0.0
0,153.101,140.126,0.769574
0,0.0,0.0,0.0
0,152.471,141.435,0.732424
0,153.111,142.067,0.749826
0,154.422,139.492,0.77275
0,155.713,138.184,0.664242
0,153.105,141.428,0.771393
0,150.521,148.588,0.781134
0,0.0,0.0,0.0
0,148.575,148.582,0.797456
0,152.458,142.731,0.750968
0,158.968,137.517,0.667083
0,157.648,137.548,0.795732
0,0.0,0.0,0.0
0,151.167,144.042,0.752378
0,137.551,180.403,0.598082
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,142.753,127.134,0.760127
0,154.437,142.715,0.719448
0,152.465,142.744,0.774592
0,176.495,127.784,0.571043
0,153.122,141.422,0.646655
0,157.02,136.882,0.661608
0,151.171,143.388,0.771657
0,147.942,152.46,0.830293
0,157.676,134.94,0.750041
0,181.057,125.851,0.466525
0,0.0,0.0,0.0
0,176.497,127.785,0.646148
0,153.777,139.481,0.781744
0,171.949,133.005,0.512767
0,151.823,144.031,0.709235
0,0.0,0.0,0.0
0,158.312,138.175,0.764475
0,151.834,142.089,0.791998
