,lx,ly,lconfidence
0,171.963,142.079,0.320194
0,168.721,137.539,0.501262
0,146.625,173.881,0.140679
0,177.145,137.534,0.582429
0,144.029,134.292,0.7249
0,178.447,137.542,0.544467
0,49.8529,160.919,0.420967
0,179.754,138.175,0.537705
0,164.808,144.022,0.39516
0,165.461,149.876,0.0586946
0,170.018,140.13,0.422933
0,165.464,146.623,0.140491
0,158.324,144.678,0.137364
0,164.815,148.59,0.225031
0,174.567,135.59,0.56903
0,168.705,148.57,0.122401
0,168.707,156.375,0.102184
0,170.017,141.436,0.4606
0,34.9198,237.557,0.0507925
0,176.508,129.101,0.106629
0,165.472,147.935,0.38839
0,179.745,136.881,0.516839
0,182.994,138.198,0.372466
